isin,desc,coupon,maturity,price,ytm,volume
IN0020230119,,7.33,2026-10-30,100.2771,5.009,
IN0020210186,,5.74,2026-11-15,100.1093,5.0247,
IN0020140060,,8.15,2026-11-24,100.5551,5.1377,
IN0020060078,,8.24,2027-02-15,101.0564,5.6199,
IN0020170026,,6.79,2027-05-15,100.6434,5.7756,
IN0020240043,,7.02,2027-05-27,100.85,5.7461,
IN0020220037,,7.38,2027-06-20,101.1012,5.8668,
IN0020070036,,8.26,2027-08-02,101.9573,5.9329,
IN0020070069,,8.28,2027-09-21,102.2309,5.9836,
IN0020240167,,6.64,2027-12-09,100.8033,5.9446,
IN0020170174,,7.17,2028-01-08,101.4876,5.9661,
IN0020220136,,7.1,2028-01-27,101.2811,6.1007,
IN0020020247,,6.01,2028-03-25,99.717,6.2053,
IN0020230010,,7.06,2028-04-10,101.4399,6.0799,
IN0020140011,,8.6,2028-06-02,103.9991,6.0974,
IN0020030022,,6.13,2028-06-04,99.7712,6.2652,
IN0020250034,,5.91,2028-06-30,99.6194,6.1311,
IN0020230101,,7.37,2028-10-23,102.2353,6.2162,
IN0020230143,,7.25,2028-11-13,101.756,6.3612,
IN0020180454,,7.26,2029-01-14,101.8893,6.3689,
IN0020250125,,6.03,2029-01-27,99.3401,6.3304,
IN0020150069,,7.59,2029-03-20,102.6633,6.4251,
IN0020220011,,7.1,2029-04-18,101.7371,6.3589,
IN0020240050,,7.04,2029-06-03,101.6152,6.3775,
IN0020260058,,6.2,2029-08-17,99.3453,6.4469,
IN0020190362,,6.45,2029-10-07,100.1392,6.3972,
IN0020240183,,6.75,2029-12-23,100.8423,6.4558,
IN0020160118,,6.79,2029-12-26,101.1519,6.3907,
IN0020150028,,7.88,2030-03-19,104.1743,6.5299,
IN0020230036,,7.17,2030-04-17,102.0809,6.5078,
IN0020160019,,7.61,2030-05-09,103.5442,6.4996,
IN0020200070,,5.79,2030-05-11,97.577,6.5429,
IN0020250067,,6.01,2030-07-21,98.5681,6.4328,
IN0020200153,,5.77,2030-08-03,97.3201,6.5605,
IN0020130053,,9.2,2030-09-30,109.0996,6.5967,
IN0020230135,,7.32,2030-11-13,102.5915,6.5941,
IN0020200294,,5.85,2030-12-01,97.1635,6.6298,
IN0020110055,,8.97,2030-12-05,108.5493,6.6114,
IN0020250141,,6.36,2031-02-16,99.057,6.6077,
IN0020240076,,7.02,2031-06-18,101.656,6.6052,
IN0020210095,,6.1,2031-07-12,97.8489,6.6254,
IN0020260074,,6.53,2031-09-07,99.5544,6.636,
IN0020170042,,6.68,2031-09-17,100.1713,6.6391,
IN0020240191,,6.79,2031-12-30,100.4837,6.6769,
