tenor_years,zcy_semi,zcy_annual,par_semi,par_annual
0.25,5.41,5.48,,
0.5,5.82,5.9,,
0.75,5.98,6.07,,
1.0,6.2,6.3,,
1.25,6.54,6.64,,
1.5,6.72,6.83,,
1.75,6.62,6.73,,
2.0,6.53,6.64,,
2.25,6.65,6.76,,
2.5,7.04,7.16,,
2.75,7.16,7.29,,
3.0,7.07,7.19,,
3.25,7.06,7.18,,
3.5,7.15,7.28,,
3.75,7.25,7.38,,
4.0,7.28,7.41,,
4.25,7.25,7.38,,
4.5,7.18,7.31,,
4.75,7.12,7.25,,
5.0,7.12,7.25,,
5.25,7.21,7.34,,
5.5,7.33,7.47,,
5.75,7.39,7.52,,
6.0,7.39,7.53,,
6.25,7.4,7.53,,
6.5,7.45,7.59,,
6.75,7.47,7.61,,
7.0,7.37,7.51,,
7.25,7.36,7.5,,
7.5,7.51,7.65,,
7.75,7.59,7.74,,
8.0,7.57,7.72,,
8.25,7.58,7.73,,
8.5,7.63,7.78,,
8.75,7.68,7.83,,
9.0,7.7,7.85,,
9.25,7.68,7.83,,
9.5,7.66,7.81,,
9.75,7.65,7.8,,
10.0,7.65,7.8,,
10.25,7.64,7.79,,
10.5,7.65,7.8,,
10.75,7.68,7.82,,
11.0,7.7,7.85,,
11.25,7.71,7.86,,
11.5,7.69,7.84,,
11.75,7.66,7.81,,
12.0,7.66,7.81,,
12.25,7.68,7.83,,
12.5,7.71,7.86,,
12.75,7.73,7.88,,
13.0,7.75,7.9,,
13.25,7.76,7.91,,
13.5,7.76,7.91,,
13.75,7.76,7.91,,
14.0,7.76,7.91,,
