tenor_years,zcy_semi,zcy_annual,par_semi,par_annual
0.25,5.489,5.5643,5.4519,5.5262
0.5,5.5738,5.6515,5.5738,5.6515
0.75,5.6546,5.7346,5.6405,5.72
1.0,5.7316,5.8138,5.7294,5.8115
1.25,5.805,5.8893,5.793,5.8769
1.5,5.875,5.9613,5.8694,5.9555
1.75,5.9417,6.0299,5.9279,6.0157
2.0,6.0052,6.0954,5.9952,6.0851
2.25,6.0658,6.1578,6.0483,6.1398
2.5,6.1235,6.2173,6.1083,6.2016
2.75,6.1786,6.274,6.1564,6.2511
3.0,6.231,6.3281,6.21,6.3064
3.25,6.2811,6.3797,6.2533,6.3511
3.5,6.3288,6.4289,6.3015,6.4007
3.75,6.3742,6.4758,6.3404,6.4409
4.0,6.4176,6.5206,6.3837,6.4856
4.25,6.459,6.5632,6.4187,6.5217
4.5,6.4984,6.604,6.4577,6.5619
4.75,6.536,6.6428,6.4891,6.5944
5.0,6.5718,6.6798,6.5242,6.6306
5.25,6.606,6.7151,6.5524,6.6598
5.5,6.6386,6.7488,6.5841,6.6925
5.75,6.6698,6.781,6.6094,6.7186
6.0,6.6994,6.8116,6.638,6.7482
6.25,6.7277,6.8409,6.6607,6.7716
6.5,6.7547,6.8688,6.6866,6.7983
6.75,6.7804,6.8954,6.7069,6.8193
7.0,6.805,6.9207,6.7303,6.8435
7.25,6.8284,6.945,6.7485,6.8624
7.5,6.8507,6.9681,6.7697,6.8842
7.75,6.872,6.9901,6.786,6.9011
8.0,6.8923,7.0111,6.8052,6.921
8.25,6.9117,7.0311,6.8198,6.936
8.5,6.9302,7.0503,6.8372,6.954
8.75,6.9478,7.0685,6.8502,6.9675
9.0,6.9646,7.0859,6.866,6.9839
9.25,6.9806,7.1025,6.8776,6.9959
9.5,6.9959,7.1183,6.892,7.0107
9.75,7.0105,7.1334,6.9024,7.0215
10.0,7.0244,7.1477,6.9154,7.035
10.25,7.0376,7.1615,6.9247,7.0445
10.5,7.0503,7.1745,6.9365,7.0568
10.75,7.0623,7.187,6.9448,7.0653
11.0,7.0738,7.1989,6.9556,7.0765
11.25,7.0847,7.2102,6.9629,7.0841
11.5,7.0951,7.221,6.9727,7.0943
11.75,7.1051,7.2313,6.9792,7.1009
12.0,7.1145,7.2411,6.9882,7.1102
12.25,7.1236,7.2504,6.9939,7.1161
12.5,7.1321,7.2593,7.0021,7.1246
12.75,7.1403,7.2678,7.0071,7.1298
13.0,7.1481,7.2759,7.0146,7.1376
13.25,7.1555,7.2835,7.019,7.1421
13.5,7.1626,7.2909,7.0258,7.1492
13.75,7.1693,7.2978,7.0297,7.1532
14.0,7.1757,7.3045,7.0359,7.1597
14.25,7.1818,7.3108,7.0393,7.1631
14.5,7.1876,7.3168,7.045,7.1691
14.75,7.1932,7.3225,7.0479,7.1721
15.0,7.1984,7.328,7.0531,7.1775
15.25,7.2034,7.3331,7.0556,7.1801
15.5,7.2082,7.3381,7.0605,7.1851
15.75,7.2127,7.3428,7.0626,7.1873
16.0,7.217,7.3472,7.067,7.1919
16.25,7.2211,7.3515,7.0688,7.1937
16.5,7.225,7.3555,7.0729,7.1979
16.75,7.2287,7.3593,7.0743,7.1995
17.0,7.2322,7.363,7.0781,7.2034
17.25,7.2356,7.3665,7.0793,7.2046
17.5,7.2388,7.3698,7.0828,7.2082
17.75,7.2418,7.3729,7.0838,7.2092
18.0,7.2447,7.3759,7.087,7.2126
18.25,7.2474,7.3788,7.0878,7.2134
18.5,7.2501,7.3815,7.0908,7.2165
18.75,7.2526,7.3841,7.0913,7.2171
19.0,7.2549,7.3865,7.0941,7.22
19.25,7.2572,7.3889,7.0946,7.2204
19.5,7.2594,7.3911,7.0972,7.2231
19.75,7.2614,7.3933,7.0974,7.2234
20.0,7.2634,7.3953,7.0999,7.2259
20.25,7.2653,7.3973,7.1,7.2261
20.5,7.2671,7.3991,7.1023,7.2285
20.75,7.2688,7.4009,7.1024,7.2285
21.0,7.2705,7.4026,7.1046,7.2308
21.25,7.2721,7.4043,7.1045,7.2307
21.5,7.2736,7.4059,7.1066,7.2329
21.75,7.2751,7.4074,7.1065,7.2327
22.0,7.2765,7.4089,7.1085,7.2348
22.25,7.2779,7.4103,7.1083,7.2346
22.5,7.2792,7.4117,7.1102,7.2366
22.75,7.2805,7.413,7.11,7.2363
23.0,7.2818,7.4143,7.1118,7.2383
23.25,7.283,7.4156,7.1115,7.238
23.5,7.2842,7.4168,7.1134,7.2399
23.75,7.2853,7.418,7.113,7.2395
24.0,7.2865,7.4192,7.1148,7.2414
24.25,7.2876,7.4204,7.1145,7.241
24.5,7.2887,7.4215,7.1163,7.2429
24.75,7.2898,7.4226,7.1159,7.2425
25.0,7.2909,7.4238,7.1177,7.2443
25.25,7.2919,7.4249,7.1173,7.244
25.5,7.293,7.426,7.119,7.2458
25.75,7.294,7.427,7.1187,7.2454
26.0,7.2951,7.4281,7.1204,7.2472
26.25,7.2961,7.4292,7.1201,7.2469
26.5,7.2972,7.4303,7.1219,7.2487
26.75,7.2982,7.4314,7.1216,7.2484
27.0,7.2993,7.4325,7.1233,7.2502
27.25,7.3003,7.4336,7.123,7.2499
27.5,7.3014,7.4347,7.1248,7.2517
27.75,7.3025,7.4358,7.1245,7.2514
28.0,7.3035,7.4369,7.1263,7.2533
28.25,7.3046,7.438,7.1261,7.2531
28.5,7.3057,7.4391,7.1279,7.2549
28.75,7.3068,7.4403,7.1277,7.2547
29.0,7.3079,7.4415,7.1296,7.2566
29.25,7.3091,7.4426,7.1294,7.2565
29.5,7.3102,7.4438,7.1313,7.2584
29.75,7.3114,7.445,7.1312,7.2583
30.0,7.3126,7.4462,7.133,7.2602
30.25,7.3137,7.4475,7.133,7.2602
30.5,7.3149,7.4487,7.1349,7.2622
30.75,7.3162,7.45,7.1349,7.2621
31.0,7.3174,7.4512,7.1368,7.2641
31.25,7.3186,7.4525,7.1368,7.2642
31.5,7.3199,7.4538,7.1388,7.2662
31.75,7.3212,7.4552,7.1388,7.2662
32.0,7.3224,7.4565,7.1408,7.2683
