Tenor (Year),Zero Coupon%  (Semi-annual),Zero Coupon %          (Annualized),YTM% p.a.(Semi-Annual),YTM % p.a.(Annualized)
0.25,5.18,5.25,5.15,5.21
0.5,5.59,5.67,5.59,5.67
0.75,5.8,5.88,5.78,5.87
1.0,5.89,5.98,5.89,5.97
1.25,5.97,6.06,5.96,6.04
1.5,6.06,6.15,6.05,6.14
1.75,6.15,6.24,6.14,6.23
2.0,6.24,6.34,6.23,6.32
2.25,6.31,6.41,6.29,6.39
2.5,6.37,6.47,6.35,6.45
2.75,6.39,6.49,6.37,6.47
3.0,6.4,6.5,6.38,6.48
3.25,6.41,6.51,6.39,6.49
3.5,6.45,6.55,6.43,6.53
3.75,6.5,6.61,6.47,6.58
4.0,6.56,6.67,6.53,6.64
4.25,6.61,6.72,6.57,6.68
4.5,6.65,6.76,6.61,6.72
4.75,6.67,6.78,6.62,6.73
5.0,6.7,6.81,6.65,6.76
5.25,6.76,6.87,6.7,6.82
5.5,6.81,6.93,6.76,6.87
5.75,6.85,6.97,6.79,6.9
6.0,6.87,6.99,6.81,6.92
6.25,6.88,7,6.82,6.93
6.5,6.9,7.02,6.83,6.95
6.75,6.92,7.04,6.85,6.96
7.0,6.94,7.06,6.87,6.99
7.25,6.98,7.1,6.9,7.02
7.5,7.01,7.13,6.93,7.05
7.75,7.04,7.16,6.95,7.07
8.0,7.06,7.18,6.96,7.09
8.25,7.06,7.18,6.96,7.09
8.5,7.05,7.17,6.96,7.08
8.75,7.04,7.16,6.96,7.08
9.0,7.05,7.17,6.97,7.09
9.25,7.07,7.19,6.98,7.11
9.5,7.1,7.23,7,7.13
9.75,7.13,7.26,7.02,7.15
10.0,7.15,7.28,7.05,7.17
10.25,7.17,7.3,7.06,7.18
10.5,7.18,7.31,7.06,7.19
10.75,7.17,7.3,7.06,7.19
11.0,7.17,7.3,7.06,7.19
11.25,7.16,7.29,7.06,7.18
11.5,7.16,7.29,7.06,7.18
11.75,7.16,7.29,7.06,7.18
12.0,7.16,7.29,7.06,7.19
12.25,7.17,7.3,7.07,7.19
12.5,7.17,7.3,7.07,7.2
12.75,7.18,7.31,7.08,7.2
13.0,7.19,7.32,7.09,7.21
13.25,7.2,7.33,7.09,7.22
13.5,7.22,7.35,7.11,7.23
13.75,7.23,7.36,7.11,7.24
14.0,7.25,7.38,7.13,7.25
14.25,7.27,7.4,7.14,7.26
14.5,7.29,7.42,7.15,7.28
14.75,7.31,7.44,7.16,7.29
15.0,7.33,7.46,7.18,7.31
15.25,7.36,7.5,7.19,7.32
15.5,7.38,7.52,7.21,7.34
15.75,7.4,7.54,7.22,7.35
16.0,7.43,7.57,7.23,7.36
16.25,7.45,7.59,7.25,7.38
16.5,7.48,7.62,7.26,7.39
16.75,7.5,7.64,7.28,7.41
17.0,7.53,7.67,7.29,7.42
17.25,7.55,7.69,7.3,7.44
17.5,7.58,7.72,7.32,7.45
17.75,7.6,7.74,7.33,7.46
18.0,7.63,7.78,7.34,7.48
