Tenor (Yrs),ZCYC (Semi-Annual),ZCYC (Annualised),Par (Semi-Annual),Par (Annualised)
0.25,5.7912,5.875,5.754,5.8368
0.5,5.8782,5.9645,5.8782,5.9645
0.75,5.9611,6.05,5.947,6.0354
1.0,6.0403,6.1315,6.0381,6.1293
1.25,6.1159,6.2094,6.1039,6.197
1.5,6.188,6.2838,6.1824,6.278
1.75,6.2569,6.3548,6.2431,6.3405
2.0,6.3227,6.4226,6.3127,6.4123
2.25,6.3855,6.4874,6.368,6.4694
2.5,6.4454,6.5493,6.4302,6.5336
2.75,6.5027,6.6084,6.4805,6.5855
3.0,6.5574,6.6649,6.5364,6.6432
3.25,6.6098,6.719,6.582,6.6903
3.5,6.6597,6.7706,6.6324,6.7424
3.75,6.7075,6.82,6.6737,6.7851
4.0,6.7532,6.8673,6.7193,6.8322
4.25,6.7969,6.9124,6.7567,6.8708
4.5,6.8387,6.9557,6.798,6.9136
4.75,6.8788,6.997,6.8319,6.9486
5.0,6.917,7.0366,6.8694,6.9874
5.25,6.9537,7.0746,6.9001,7.0191
5.5,6.9888,7.1109,6.9342,7.0544
5.75,7.0224,7.1457,6.962,7.0832
6.0,7.0546,7.179,6.9932,7.1154
6.25,7.0854,7.211,7.0184,7.1416
6.5,7.115,7.2416,7.0469,7.171
6.75,7.1434,7.271,7.0698,7.1948
7.0,7.1706,7.2991,7.0959,7.2218
7.25,7.1967,7.3262,7.1168,7.2434
7.5,7.2217,7.3521,7.1407,7.2682
7.75,7.2458,7.377,7.1598,7.2879
8.0,7.2689,7.401,7.1817,7.3107
8.25,7.2911,7.424,7.1991,7.3287
8.5,7.3124,7.4461,7.2194,7.3497
8.75,7.3329,7.4674,7.2353,7.3662
9.0,7.3527,7.4878,7.2541,7.3856
9.25,7.3716,7.5075,7.2686,7.4007
9.5,7.3899,7.5265,7.286,7.4187
9.75,7.4075,7.5447,7.2994,7.4326
10.0,7.4245,7.5623,7.3155,7.4493
10.25,7.4408,7.5792,7.3279,7.4621
10.5,7.4566,7.5956,7.3429,7.4777
10.75,7.4718,7.6114,7.3542,7.4895
11.0,7.4865,7.6266,7.3683,7.504
11.25,7.5006,7.6413,7.3788,7.5149
11.5,7.5143,7.6555,7.3919,7.5285
11.75,7.5276,7.6692,7.4017,7.5386
12.0,7.5403,7.6825,7.414,7.5514
12.25,7.5527,7.6953,7.423,7.5608
12.5,7.5647,7.7078,7.4346,7.5728
12.75,7.5763,7.7198,7.4431,7.5816
13.0,7.5876,7.7315,7.454,7.5929
13.25,7.5985,7.7428,7.4619,7.6011
13.5,7.609,7.7538,7.4723,7.6118
13.75,7.6193,7.7644,7.4796,7.6195
14.0,7.6293,7.7748,7.4895,7.6297
