tenor_years,our_zcy_semi,fbil_zcy_semi,diff_bps,segment
0.25,5.327209768921207,5.18,14.720976892120685,<=1y
0.5,5.590000000000001,5.59,8.881784197001252e-14,<=1y
1.0,5.889999999999998,5.89,-1.7763568394002505e-13,<=1y
2.0,6.207283795675331,6.24,-3.271620432466893,1-14y
3.0,6.397573574510511,6.4,-0.24264254894896808,1-14y
5.0,6.6742399133798775,6.7,-2.5760086620122635,1-14y
7.0,6.959155763292933,6.94,1.9155763292932448,1-14y
10.0,7.153734472407654,7.15,0.37344724076540103,1-14y
14.0,7.36669075166192,7.25,11.669075166191956,1-14y
20.0,7.996720904808436,7.81,18.67209048084364,>14y
30.0,8.110375195890063,8.2,-8.962480410993656,>14y
40.0,8.505695659577723,8.39,11.569565957772276,>14y
