strip_id,type,cashflow_date,t_years,cashflow,spot_rate,discount_factor,pv,normalized_value,price_per_100
CS-2027-02-14,coupon,2027-02-14,0.4,1897500.0,5.8437408636685895,0.9772234136720082,1854281.4274426354,1801566.072233521,94.94419353009333
CS-2027-08-14,coupon,2027-08-14,0.8958904109589041,1897500.0,6.007743841866464,0.9483513250125887,1799496.639211387,1748338.7604073773,92.13906510710815
CS-2028-02-14,coupon,2028-02-14,1.4,1897500.0,6.159558986974734,0.9185742220274421,1742994.5862970713,1693443.004005199,89.24600811621602
CS-2028-08-14,coupon,2028-08-14,1.8986301369863015,1897500.0,6.29638619260442,0.8889609988107984,1686803.49524349,1638849.3691309437,86.36887320848187
CS-2029-02-14,coupon,2029-02-14,2.4027397260273973,1897500.0,6.422418085977499,0.8590843940529882,1630112.637715545,1583770.175640327,83.46614891385123
CS-2029-08-14,coupon,2029-08-14,2.8986301369863012,1897500.0,6.535509150746144,0.8299325589266289,1574797.0305632784,1530027.135540981,80.63384113522957
CS-2030-02-14,coupon,2030-02-14,3.4027397260273973,1897500.0,6.6405606616646295,0.8006825342686245,1519295.1087747149,1476103.0775429793,77.79199354640207
CS-2030-08-14,coupon,2030-08-14,3.8986301369863012,1897500.0,6.734918286098868,0.7724056595702852,1465639.7390346162,1423973.0759767,75.04469438612385
CS-2031-02-14,coupon,2031-02-14,4.402739726027397,1897500.0,6.822643919322191,0.7442536669591543,1412221.3330549952,1372073.3015296205,72.30952840735813
CS-2031-08-14,coupon,2031-08-14,4.898630136986301,1897500.0,6.901714417673865,0.7172098569946457,1360905.7036473402,1322216.5238323745,69.68203024149537
CS-2032-02-14,coupon,2032-02-14,5.402739726027397,1897500.0,6.975333279975038,0.690433083845435,1310096.7765967129,1272852.0434539882,67.08047659836565
CS-2032-08-14,coupon,2032-08-14,5.901369863013699,1897500.0,7.042066398314795,0.6646934069928482,1261255.7397689293,1225399.5081594961,64.57968422447937
CS-2033-02-14,coupon,2033-02-14,6.405479452054794,1897500.0,7.103946524140881,0.6394500534673064,1213356.476454214,1178861.9727047055,62.12711318601873
CS-2033-08-14,coupon,2033-08-14,6.901369863013699,1897500.0,7.1600043337491925,0.6153901074685119,1167702.7289215012,1134506.1152776675,59.789518591708436
CS-2034-02-14,coupon,2034-02-14,7.405479452054794,1897500.0,7.212361910099485,0.5917299374181603,1122807.5562509592,1090887.2671927449,57.49076506944637
CS-2034-08-14,coupon,2034-08-14,7.901369863013699,1897500.0,7.259901245642553,0.5692328739434735,1080119.3783077411,1049412.6711957206,55.305015609787645
CS-2035-02-14,coupon,2035-02-14,8.405479452054795,1897500.0,7.304449662951384,0.5471524122766172,1038221.702294881,1008706.1039545749,53.15974197389064
CS-2035-08-14,coupon,2035-08-14,8.901369863013699,1897500.0,7.344990558514741,0.5261939701431511,998453.0583466291,970068.0425386672,51.12348050269656
CS-2036-02-14,coupon,2036-02-14,9.405479452054795,1897500.0,7.383056072636185,0.5056545405462597,959479.4906865278,932202.4541920417,49.1279290746794
CS-2036-08-14,coupon,2036-08-14,9.904109589041095,1897500.0,7.418059254510556,0.4860734505442194,922324.3724076563,896103.6185404564,47.22548714310706
CS-2037-02-14,coupon,2037-02-14,10.408219178082192,1897500.0,7.450863612723069,0.4670094215153146,886150.3773253094,860958.0137401223,45.37328135652818
CS-2037-08-14,coupon,2037-08-14,10.904109589041095,1897500.0,7.4809287113817735,0.4489504682807861,851883.5135627916,827665.322435145,43.618725820033994
CS-2038-02-14,coupon,2038-02-14,11.408219178082192,1897500.0,7.509308604271281,0.4312845112162061,818362.3600327511,795097.1415710673,41.90235265196666
CS-2038-08-14,coupon,2038-08-14,11.904109589041095,1897500.0,7.535480451531873,0.41455660013002604,786621.1487467245,764258.3009839794,40.27711731140866
CS-2039-02-14,coupon,2039-02-14,12.408219178082192,1897500.0,7.560345731890461,0.39819723481686964,755579.2530650102,734098.8951622227,38.6876888096033
CS-2039-08-14,coupon,2039-08-14,12.904109589041095,1897500.0,7.58330558103486,0.3827159144526596,726203.4476739216,705558.2143605448,37.183568609251374
CS-2040-02-14,coupon,2040-02-14,13.408219178082192,1897500.0,7.605175040689849,0.3675821004101019,697487.0355281684,677658.1809177173,35.713211115558224
PS-2040-02-14-7.5900,principal,2040-02-14,13.408219178082192,50000000.0,7.605175040689849,0.3675821004101019,18379105.020505097,17856605.55777911,35.713211115558224
